70,"{'Volume': 403772.0, 'Turnover_ratio': 0.27, 'Price': 1.1, 'Time': '2005-04-22'}"
71,"{'Volume': 199608.0, 'Turnover_ratio': 0.13, 'Price': 1.05, 'Time': '2005-04-25'}"
72,"{'Volume': 1415608.0, 'Turnover_ratio': 0.93, 'Price': 1.04, 'Time': '2005-04-26'}"
73,"{'Volume': 919071.0, 'Turnover_ratio': 0.6, 'Price': 1.09, 'Time': '2005-04-27'}"
74,"{'Volume': 820936.0, 'Turnover_ratio': 0.54, 'Price': 1.08, 'Time': '2005-04-28'}"
75,"{'Volume': 1324465.0, 'Turnover_ratio': 0.87, 'Price': 1.13, 'Time': '2005-04-29'}"
76,"{'Volume': 492189.0, 'Turnover_ratio': 0.32, 'Price': 1.07, 'Time': '2005-05-09'}"
77,"{'Volume': 320847.0, 'Turnover_ratio': 0.21, 'Price': 1.05, 'Time': '2005-05-10'}"
78,"{'Volume': 440513.0, 'Turnover_ratio': 0.29, 'Price': 1.03, 'Time': '2005-05-11'}"
79,"{'Volume': 255070.0, 'Turnover_ratio': 0.17, 'Price': 1.01, 'Time': '2005-05-12'}"
80,"{'Volume': 330418.0, 'Turnover_ratio': 0.22, 'Price': 1.02, 'Time': '2005-05-13'}"
81,"{'Volume': 200578.0, 'Turnover_ratio': 0.13, 'Price': 1.01, 'Time': '2005-05-16'}"
82,"{'Volume': 880654.0, 'Turnover_ratio': 0.58, 'Price': 1.06, 'Time': '2005-05-18'}"
83,"{'Volume': 1418771.0, 'Turnover_ratio': 0.93, 'Price': 1.11, 'Time': '2005-05-19'}"
84,"{'Volume': 2970968.0, 'Turnover_ratio': 1.96, 'Price': 1.16, 'Time': '2005-05-20'}"
85,"{'Volume': 2324988.0, 'Turnover_ratio': 1.53, 'Price': 1.14, 'Time': '2005-05-23'}"
86,"{'Volume': 895691.0, 'Turnover_ratio': 0.59, 'Price': 1.13, 'Time': '2005-05-24'}"
87,"{'Volume': 896027.0, 'Turnover_ratio': 0.59, 'Price': 1.13, 'Time': '2005-05-25'}"
88,"{'Volume': 293277.0, 'Turnover_ratio': 0.19, 'Price': 1.11, 'Time': '2005-05-26'}"
89,"{'Volume': 551676.0, 'Turnover_ratio': 0.36, 'Price': 1.13, 'Time': '2005-05-27'}"
90,"{'Volume': 369628.0, 'Turnover_ratio': 0.24, 'Price': 1.1, 'Time': '2005-05-30'}"
91,"{'Volume': 467177.0, 'Turnover_ratio': 0.31, 'Price': 1.13, 'Time': '2005-05-31'}"
92,"{'Volume': 317675.0, 'Turnover_ratio': 0.21, 'Price': 1.1, 'Time': '2005-06-01'}"
93,"{'Volume': 2225721.0, 'Turnover_ratio': 1.47, 'Price': 1.16, 'Time': '2005-06-02'}"
94,"{'Volume': 908017.0, 'Turnover_ratio': 0.6, 'Price': 1.12, 'Time': '2005-06-03'}"
95,"{'Volume': 879185.0, 'Turnover_ratio': 0.58, 'Price': 1.09, 'Time': '2005-06-06'}"
96,"{'Volume': 696921.0, 'Turnover_ratio': 0.46, 'Price': 1.1, 'Time': '2005-06-07'}"
97,"{'Volume': 1404666.0, 'Turnover_ratio': 0.92, 'Price': 1.15, 'Time': '2005-06-08'}"
98,"{'Volume': 1562529.0, 'Turnover_ratio': 1.03, 'Price': 1.19, 'Time': '2005-06-09'}"
99,"{'Volume': 975123.0, 'Turnover_ratio': 0.64, 'Price': 1.17, 'Time': '2005-06-10'}"
100,"{'Volume': 413469.0, 'Turnover_ratio': 0.27, 'Price': 1.16, 'Time': '2005-06-13'}"
101,"{'Volume': 365139.0, 'Turnover_ratio': 0.24, 'Price': 1.16, 'Time': '2005-06-14'}"
102,"{'Volume': 598021.0, 'Turnover_ratio': 0.39, 'Price': 1.12, 'Time': '2005-06-15'}"
103,"{'Volume': 285638.0, 'Turnover_ratio': 0.19, 'Price': 1.1, 'Time': '2005-06-16'}"
104,"{'Volume': 445300.0, 'Turnover_ratio': 0.29, 'Price': 1.1, 'Time': '2005-06-17'}"
105,"{'Volume': 442133.0, 'Turnover_ratio': 0.29, 'Price': 1.1, 'Time': '2005-06-20'}"
